Species,Timestep,GRO,TWD,Temperature,VPD
A,2015-01-01T00:00:00Z,0,16.7575,4.970441,0.055194541
A,2015-01-01T01:00:00Z,0,15.3115,4.284142,0.064936743
A,2015-01-01T02:00:00Z,0,15.046,4.106849,0.071718792
A,2015-01-01T03:00:00Z,0,13.175,4.016872,0.065193296
A,2015-01-01T04:00:00Z,0,13.919,3.909979,0.088404541
A,2015-01-01T05:00:00Z,0,12.73375,3.836843,0.089722668
A,2015-01-01T06:00:00Z,0,12.4175,3.713074,0.105156628
A,2015-01-01T07:00:00Z,0,11.6155,3.555548,0.098561829
A,2015-01-01T08:00:00Z,0,11.227,3.825591,0.104404326
A,2015-01-01T09:00:00Z,0,11.67125,3.628685,0.089267329
A,2015-01-01T10:00:00Z,0,10.53525,4.253157,0.098092351
A,2015-01-01T11:00:00Z,0,11.21175,4.704929,0.107729178
A,2015-01-01T12:00:00Z,0,10.822,4.778782,0.11520946
A,2015-01-01T13:00:00Z,0,11.092,4.51945,0.09819013
A,2015-01-01T14:00:00Z,0,11.1875,4.311365,0.091229081
A,2015-01-01T15:00:00Z,0,10.7535,3.923688,0.103211982
A,2015-01-01T16:00:00Z,0,10.70075,3.527371,0.092010756
A,2015-01-01T17:00:00Z,0,10.2765,3.825591,0.127736375
A,2015-01-01T18:00:00Z,0,10.64925,3.819965,0.138122074
A,2015-01-01T19:00:00Z,0,10.31325,3.769332,0.147396868
A,2015-01-01T20:00:00Z,0,10.63225,3.741204,0.165515738
A,2015-01-01T21:00:00Z,0,10.95675,3.729951,0.152263866
A,2015-01-01T22:00:00Z,0,10.98975,4.112511,0.184484605
A,2015-01-01T23:00:00Z,0,10.6695,4.174396,0.202313939
A,2015-01-02T00:00:00Z,0,11.40525,4.386457,0.205794207
A,2015-01-02T01:00:00Z,0,12.645,4.556311,0.206028152
A,2015-01-02T02:00:00Z,0,12.59225,4.908002,0.240206682
A,2015-01-02T03:00:00Z,0,13.03325,5.341733,0.245544543
A,2015-01-02T04:00:00Z,0,13.17375,5.189249,0.176016502
A,2015-01-02T05:00:00Z,0,13.53725,4.897114,0.141255641
A,2015-01-02T06:00:00Z,0,13.72825,5.347551,0.164878882
A,2015-01-02T07:00:00Z,0,10.74925,5.245053,0.060387929
A,2015-01-02T08:00:00Z,0,12.3565,5.936762,0.05525981
A,2015-01-02T09:00:00Z,0,12.08225,6.707181,0.085335952
A,2015-01-02T10:00:00Z,0,11.40425,7.162725,0.095425982
A,2015-01-02T11:00:00Z,0,12.64325,7.784375,0.11895841
A,2015-01-02T12:00:00Z,0,12.54025,8.656117,0.18927112
A,2015-01-02T13:00:00Z,0,17.27125,7.598824,0.1813945
