Species,Timestep,GRO,TWD,Temperature,VPD
C,2015-01-01T00:00:00Z,0,17.9776,4.970441,
C,2015-01-01T01:00:00Z,0,18.424,4.284142,
C,2015-01-01T02:00:00Z,0,18.7136,4.106849,
C,2015-01-01T03:00:00Z,0,18.891,4.016872,
C,2015-01-01T04:00:00Z,0,18.166,3.909979,
C,2015-01-01T05:00:00Z,0,18.1976,3.836843,
C,2015-01-01T06:00:00Z,0,18.2356,3.713074,
C,2015-01-01T07:00:00Z,0,18.5844,3.555548,
C,2015-01-01T08:00:00Z,0,18.3014,3.825591,
C,2015-01-01T09:00:00Z,0,18.212,3.628685,
C,2015-01-01T10:00:00Z,0,17.7406,4.253157,
C,2015-01-01T11:00:00Z,0,17.5242,4.704929,
C,2015-01-01T12:00:00Z,0,17.6812,4.778782,
C,2015-01-01T13:00:00Z,0,17.677,4.51945,
C,2015-01-01T14:00:00Z,0,18.023,4.311365,
C,2015-01-01T15:00:00Z,0,18.713,3.923688,
C,2015-01-01T16:00:00Z,0,18.8472,3.527371,
C,2015-01-01T17:00:00Z,0,18.9626,3.825591,
C,2015-01-01T18:00:00Z,0,19.2352,3.819965,
C,2015-01-01T19:00:00Z,0,19.935,3.769332,
C,2015-01-01T20:00:00Z,0,20.422,3.741204,
C,2015-01-01T21:00:00Z,0,20.9508,3.729951,
C,2015-01-01T22:00:00Z,0,21.358,4.112511,
C,2015-01-01T23:00:00Z,0,22.2438,4.174396,
C,2015-01-02T00:00:00Z,0,22.1726,4.386457,
C,2015-01-02T01:00:00Z,0,23.1896,4.556311,
C,2015-01-02T02:00:00Z,0,23.4566,4.908002,
C,2015-01-02T03:00:00Z,0,24.0744,5.341733,
C,2015-01-02T04:00:00Z,0,24.7564,5.189249,
C,2015-01-02T05:00:00Z,0,24.7086,4.897114,
C,2015-01-02T06:00:00Z,0,24.2068,5.347551,
C,2015-01-02T07:00:00Z,0,23.9088,5.245053,
C,2015-01-02T08:00:00Z,0,24.076,5.936762,
C,2015-01-02T09:00:00Z,0,23.8304,6.707181,
C,2015-01-02T10:00:00Z,0,24.3734,7.162725,
C,2015-01-02T11:00:00Z,0,24.1514,7.784375,
C,2015-01-02T12:00:00Z,0,24.223,8.656117,
C,2015-01-02T13:00:00Z,0,23.8626,7.598824,
C,2015-01-02T14:00:00Z,0,24.3356,6.148898,
C,2015-01-02T15:00:00Z,0,24.4864,6.392216,
C,2015-01-02T16:00:00Z,0,23.7532,6.296609,
C,2015-01-02T17:00:00Z,0,25.3108,6.577807,
C,2015-01-02T18:00:00Z,0,26.4062,6.724031,
C,2015-01-02T19:00:00Z,0,26.5646,5.880435,
C,2015-01-02T20:00:00Z,0,26.6586,5.976043,
C,2015-01-02T21:00:00Z,0,26.9352,5.41927,
C,2015-01-02T22:00:00Z,0,27.387,5.206241,
C,2015-01-02T23:00:00Z,0,27.114,5.053816,
C,2015-01-03T00:00:00Z,0,27.3152,4.952645,
C,2015-01-03T01:00:00Z,0,27.612,4.774299,
C,2015-01-03T02:00:00Z,0,27.4576,3.881558,
C,2015-01-03T03:00:00Z,0,27.786,4.067503,
C,2015-01-03T04:00:00Z,0,27.8194,4.303789,
C,2015-01-03T05:00:00Z,0,27.8462,4.264408,
C,2015-01-03T06:00:00Z,0,27.3932,4.106885,
C,2015-01-03T07:00:00Z,0,27.6088,4.483819,
C,2015-01-03T08:00:00Z,0,27.172,4.600486,
C,2015-01-03T09:00:00Z,0,27.1952,4.666582,
C,2015-01-03T10:00:00Z,0,27.39,4.678516,
C,2015-01-03T11:00:00Z,0,28.3886,4.688447,
C,2015-01-03T12:00:00Z,0,28.1566,4.722597,
C,2015-01-03T13:00:00Z,0,28.3344,4.553432,
C,2015-01-03T14:00:00Z,0,27.5432,3.706445,
C,2015-01-03T15:00:00Z,0,26.8342,3.533044,
C,2015-01-03T16:00:00Z,0,25.6304,2.497883,
C,2015-01-03T17:00:00Z,0,24.7396,2.469753,
C,2015-01-03T18:00:00Z,0,24.8898,2.965401,
C,2015-01-03T19:00:00Z,0,24.576,3.606202,
C,2015-01-03T20:00:00Z,0,23.6022,3.617453,
C,2015-01-03T21:00:00Z,0,23.537,3.668084,
C,2015-01-03T22:00:00Z,0,22.8548,4.095652,
C,2015-01-03T23:00:00Z,0,22.8612,3.887495,
C,2015-01-04T00:00:00Z,0,22.5464,3.971883,
C,2015-01-04T01:00:00Z,0,21.5616,4.022517,
C,2015-01-04T02:00:00Z,0,21.6598,4.191292,
C,2015-01-04T03:00:00Z,0,21.3374,3.656833,
C,2015-01-04T04:00:00Z,0,21.7634,3.44305,
C,2015-01-04T05:00:00Z,0,21.7506,3.521812,
C,2015-01-04T06:00:00Z,0,22.2418,2.661053,
C,2015-01-04T07:00:00Z,0,22.5522,2.350799,
C,2015-01-04T08:00:00Z,0,22.1676,1.981991,
C,2015-01-04T09:00:00Z,0,21.98,2.23079,
C,2015-01-04T10:00:00Z,0,22.5436,2.857876,
C,2015-01-04T11:00:00Z,0,23.4776,3.64581,
C,2015-01-04T12:00:00Z,0,23.7342,4.31806,
C,2015-01-04T13:00:00Z,0,24.2348,4.121046,
C,2015-01-04T14:00:00Z,0,24.5116,4.251255,
C,2015-01-04T15:00:00Z,0,24.7798,4.211952,
C,2015-01-04T16:00:00Z,0,24.3684,3.133551,
C,2015-01-04T17:00:00Z,0,24.8534,2.19537,
C,2015-01-04T18:00:00Z,0,24.7086,2.151601,
C,2015-01-04T19:00:00Z,0,24.4244,1.386395,
C,2015-01-04T20:00:00Z,0,24.2908,1.307891,
C,2015-01-04T21:00:00Z,0,24.501,1.426074,
C,2015-01-04T22:00:00Z,0,24.3804,1.639929,
C,2015-01-04T23:00:00Z,0,24.4478,1.639929,
C,2015-01-05T00:00:00Z,0,24.218,1.915248,
C,2015-01-05T01:00:00Z,0,24.471,3.026844,
C,2015-01-05T02:00:00Z,0,24.6466,3.7581,
C,2015-01-05T03:00:00Z,0,23.9398,3.79748,
C,2015-01-05T04:00:00Z,0,23.9034,3.763725,
C,2015-01-05T05:00:00Z,0,22.4366,4.562601,
C,2015-01-05T06:00:00Z,0,22.3944,4.450714,
C,2015-01-05T07:00:00Z,0,21.2128,4.627842,
C,2015-01-05T08:00:00Z,0,20.923,5.048927,
C,2015-01-05T09:00:00Z,0,20.562,5.076483,
C,2015-01-05T10:00:00Z,0,20.8572,3.48296,
C,2015-01-05T11:00:00Z,0,20.609,3.510541,
C,2015-01-05T12:00:00Z,0,21.0884,3.707448,
C,2015-01-05T13:00:00Z,0,20.829,3.971383,
C,2015-01-05T14:00:00Z,0,20.681,3.930387,
C,2015-01-05T15:00:00Z,0,20.4156,3.864188,
C,2015-01-05T16:00:00Z,0,20.4494,3.561174,
C,2015-01-05T17:00:00Z,0,20.8522,2.891694,
C,2015-01-05T18:00:00Z,0,20.2984,2.711666,
C,2015-01-05T19:00:00Z,0,20.4336,2.362881,
C,2015-01-05T20:00:00Z,0,19.9332,1.528589,
C,2015-01-05T21:00:00Z,0,19.1308,1.403615,
C,2015-01-05T22:00:00Z,0,19.1928,1.402494,
C,2015-01-05T23:00:00Z,0,18.9674,0.7610213,
C,2015-01-06T00:00:00Z,0,18.3728,0.531257,
C,2015-01-06T01:00:00Z,0,18.3786,0.171079,
C,2015-01-06T02:00:00Z,0,17.9058,-0.7012265,
C,2015-01-06T03:00:00Z,0,17.0668,-0.9150817,
C,2015-01-06T04:00:00Z,0,15.523,-1.140192,
C,2015-01-06T05:00:00Z,0,14.9062,-1.043749,
