Species,Timestep,GRO,TWD,Temperature,VPD
PCAB,2015-01-01T00:00:00Z,0,665.3885417,-9.708102171,0.000376796
PCAB,2015-01-01T01:00:00Z,0,666.50625,-8.951525186,0.000572006
PCAB,2015-01-01T02:00:00Z,0,665.6979167,-8.653948248,0.000268298
PCAB,2015-01-01T03:00:00Z,0,666.505625,-8.141166105,0
PCAB,2015-01-01T04:00:00Z,0,667.376625,-7.651056121,0
PCAB,2015-01-01T05:00:00Z,0,667.336625,-7.215383745,-5.68E-17
PCAB,2015-01-01T06:00:00Z,0,667.7826667,-6.747219721,0
PCAB,2015-01-01T07:00:00Z,0,667.6185,-5.129106911,0.003842687
PCAB,2015-01-01T08:00:00Z,0,667.038,-4.27331807,0.00329186
PCAB,2015-01-01T09:00:00Z,0,666.213125,-3.490493892,0.005983341
PCAB,2015-01-01T10:00:00Z,0,664.2377083,-2.031199069,0.009197434
PCAB,2015-01-01T11:00:00Z,0,661.2280833,-0.125601101,0.031730158
PCAB,2015-01-01T12:00:00Z,0,656.9616667,0.278213123,0.053040874
PCAB,2015-01-01T13:00:00Z,0,651.7438333,0.02633654,0.024606107
PCAB,2015-01-01T14:00:00Z,0,647.841625,-0.466194812,0.019307347
PCAB,2015-01-01T15:00:00Z,0,644.4626667,-0.646715437,0.008589276
PCAB,2015-01-01T16:00:00Z,0,641.9444583,-1.492896874,0.007213794
PCAB,2015-01-01T17:00:00Z,0,639.5741667,-2.193639405,0.005150329
PCAB,2015-01-01T18:00:00Z,0,637.9769583,-2.008555393,0.00398427
PCAB,2015-01-01T19:00:00Z,0,636.6035,-1.522598322,0.012190572
PCAB,2015-01-01T20:00:00Z,0,635.6222917,-2.088485083,0.010409391
PCAB,2015-01-01T21:00:00Z,0,635.119375,-2.178832412,0.004495145
PCAB,2015-01-01T22:00:00Z,0,633.074875,-1.882231856,0.002852737
PCAB,2015-01-01T23:00:00Z,0,632.2272083,-0.783692034,0.008313299
PCAB,2015-01-02T00:00:00Z,0,630.5420417,-1.301705399,0.009171605
PCAB,2015-01-02T01:00:00Z,0,629.340625,-0.839049942,0.01931683
PCAB,2015-01-02T02:00:00Z,0,628.704375,-0.412764153,0.015214583
PCAB,2015-01-02T03:00:00Z,0,627.8302917,-1.087659465,0.024237464
PCAB,2015-01-02T04:00:00Z,0,626.9890833,0.275693282,0.034795247
PCAB,2015-01-02T05:00:00Z,0,625.3558333,0.170462903,0.028991376
PCAB,2015-01-02T06:00:00Z,0,623.877875,-0.644392406,0.048312253
PCAB,2015-01-02T07:00:00Z,0,621.2512083,-0.159612922,0.058798949
PCAB,2015-01-02T08:00:00Z,0,620.5439167,1.566313335,0.115560402
PCAB,2015-01-02T09:00:00Z,0,619.1539583,2.345126179,0.229721688
PCAB,2015-01-02T10:00:00Z,0,616.6544167,4.035725603,0.319804738
PCAB,2015-01-02T11:00:00Z,0,602.4960833,4.710496182,0.257463034
PCAB,2015-01-02T12:00:00Z,0,599.3570417,4.597572842,0.138018513
PCAB,2015-01-02T13:00:00Z,0,598.319,3.824724189,0.174301326
PCAB,2015-01-02T14:00:00Z,0,585.806625,3.457064463,0.11147074
PCAB,2015-01-02T15:00:00Z,0,574.242375,2.370654436,0.060444439
PCAB,2015-01-02T16:00:00Z,0,559.1922917,1.879581915,0.071052322
PCAB,2015-01-02T17:00:00Z,0,540.060625,0.833848225,0.039167211
PCAB,2015-01-02T18:00:00Z,0,524.3745417,0.156532625,0.007534452
PCAB,2015-01-02T19:00:00Z,0,516.5635833,0.614701567,0.008081838
PCAB,2015-01-02T20:00:00Z,0,506.4588333,0.257500305,0
PCAB,2015-01-02T21:00:00Z,0,491.71275,0.597315399,0
PCAB,2015-01-02T22:00:00Z,0,470.945625,0.506160615,0
PCAB,2015-01-02T23:00:00Z,0,451.2578333,0.723662583,0
PCAB,2015-01-03T00:00:00Z,0,428.1980417,-0.232395272,0
PCAB,2015-01-03T01:00:00Z,0,407.3072917,-0.362417075,0
PCAB,2015-01-03T02:00:00Z,0,387.2285833,-0.330537579,0
PCAB,2015-01-03T03:00:00Z,0,375.1353333,-0.454124103,0
PCAB,2015-01-03T04:00:00Z,0,365.0816667,-0.832799946,0
PCAB,2015-01-03T05:00:00Z,0,361.8810833,-0.630712209,0
PCAB,2015-01-03T06:00:00Z,0,355.8495,-1.155867482,0
PCAB,2015-01-03T07:00:00Z,0,352.1952083,-1.130024618,0.011273418
PCAB,2015-01-03T08:00:00Z,0,353.1589583,-0.352723204,0
PCAB,2015-01-03T09:00:00Z,0,358.1835417,-0.12995094,0.000352427
PCAB,2015-01-03T10:00:00Z,0,368.705,1.706257062,0.001547817
PCAB,2015-01-03T11:00:00Z,0,370.1007083,1.193714228,0.024941916
PCAB,2015-01-03T12:00:00Z,0,369.6912917,2.105641532,0.038735323
PCAB,2015-01-03T13:00:00Z,0,365.17425,3.780623071,0.128927792
PCAB,2015-01-03T14:00:00Z,0,350.1406667,2.562069293,0.06948905
PCAB,2015-01-03T15:00:00Z,0,335.3013333,2.362698244,0.048656937
PCAB,2015-01-03T16:00:00Z,0,323.4870417,0.199515941,0.006810214
PCAB,2015-01-03T17:00:00Z,0,307.906625,0.458223028,0.002865322
PCAB,2015-01-03T18:00:00Z,0,302.1855833,0.531978101,0
PCAB,2015-01-03T19:00:00Z,0,282.3136667,0.95762044,0.003368188
PCAB,2015-01-03T20:00:00Z,0,272.7726667,0.967945713,0
PCAB,2015-01-03T21:00:00Z,0,262.3715417,1.108208327,0
PCAB,2015-01-03T22:00:00Z,0,250.5799583,1.307718452,0.006955758
PCAB,2015-01-03T23:00:00Z,0,243.6252917,1.860571077,0.001246527
PCAB,2015-01-04T00:00:00Z,0,228.1052083,1.205840319,0
PCAB,2015-01-04T01:00:00Z,0,217.927,0.314215791,0
PCAB,2015-01-04T02:00:00Z,0,221.0429583,1.684602524,2.63E-05
PCAB,2015-01-04T03:00:00Z,0,222.9945,0.671287169,0
PCAB,2015-01-04T04:00:00Z,0,220.5286667,0.237064613,0
PCAB,2015-01-04T05:00:00Z,0,217.4761667,-0.32708285,0
PCAB,2015-01-04T06:00:00Z,0,216.421375,-0.833167743,0
PCAB,2015-01-04T07:00:00Z,0,218.9152917,-1.75647648,0.004566451
PCAB,2015-01-04T08:00:00Z,0,217.2412083,-1.301074527,0.001195447
PCAB,2015-01-04T09:00:00Z,0,217.1881667,-1.60333903,0.003340372
PCAB,2015-01-04T10:00:00Z,0,217.6509167,-0.954018071,0
PCAB,2015-01-04T11:00:00Z,0,217.5568333,-0.850854438,0.014769129
PCAB,2015-01-04T12:00:00Z,0,236.7994167,-1.574609634,0.020654652
PCAB,2015-01-04T13:00:00Z,0,255.8836667,-2.664425596,0.014758356
PCAB,2015-01-04T14:00:00Z,0,264.0515833,-3.32782445,0.007536881
PCAB,2015-01-04T15:00:00Z,0,270.9952917,-3.96408531,0.011723168
PCAB,2015-01-04T16:00:00Z,0,274.8721667,-4.654772459,0.004403025
PCAB,2015-01-04T17:00:00Z,0,278.1279167,-5.200503418,0.006959638
PCAB,2015-01-04T18:00:00Z,0,281.213,-5.38379402,0.008287642
PCAB,2015-01-04T19:00:00Z,0,279.0474167,-5.808418521,0.013407072
PCAB,2015-01-04T20:00:00Z,0,282.1311667,-6.087496728,0.014583849
PCAB,2015-01-04T21:00:00Z,0,285.9570417,-6.187128706,0.016422005
PCAB,2015-01-04T22:00:00Z,0,284.1706667,-6.580077834,0.01349313
PCAB,2015-01-04T23:00:00Z,0,289.48825,-6.757398561,0.002348386
PCAB,2015-01-05T00:00:00Z,0,290.876625,-7.092755973,0
PCAB,2015-01-05T01:00:00Z,0,290.831125,-7.395747351,0.00064825
PCAB,2015-01-05T02:00:00Z,0,291.2065,-8.379921432,0.001648418
PCAB,2015-01-05T03:00:00Z,0,291.735,-9.491252688,0
PCAB,2015-01-05T04:00:00Z,0,292.1733333,-9.352974856,0
PCAB,2015-01-05T05:00:00Z,0,293.2971667,-9.692328455,0.002706165
PCAB,2015-01-05T06:00:00Z,0,293.3617917,-9.026220431,0.005953641
PCAB,2015-01-05T07:00:00Z,0,292.728375,-9.620887236,0.008782223
PCAB,2015-01-05T08:00:00Z,0,293.3701667,-7.455839856,0.032193979
PCAB,2015-01-05T09:00:00Z,0,293.7099167,-6.766134021,0.047048288
PCAB,2015-01-05T10:00:00Z,0,293.9112083,-4.050915792,0.081453129
PCAB,2015-01-05T11:00:00Z,0,293.3488333,-2.406205366,0.129592562
PCAB,2015-01-05T12:00:00Z,0,296.1342083,-1.425512498,0.146665899
PCAB,2015-01-05T13:00:00Z,0,302.883625,-0.944464568,0.203561639
PCAB,2015-01-05T14:00:00Z,0,313.941,-1.355089068,0.128107282
PCAB,2015-01-05T15:00:00Z,0,315.037625,-1.96270028,0.110022732
PCAB,2015-01-05T16:00:00Z,0,316.447,-3.804819587,0.12469665
PCAB,2015-01-05T17:00:00Z,0,318.12275,-4.879257234,0.064184163
