Species,Timestep,GRO,TWD,Temperature,VPD
PISY,2015-01-01T00:00:00Z,0,178.954162,-6.75,0.031349
PISY,2015-01-01T01:00:00Z,0,181.722574,-7.333333,0.033842
PISY,2015-01-01T02:00:00Z,0,184.233848,-8.041668,0.032022
PISY,2015-01-01T03:00:00Z,0,186.518554,-8.083335,0.033257
PISY,2015-01-01T04:00:00Z,0,188.476709,-8.166668,0.033606
PISY,2015-01-01T05:00:00Z,0,190.648088,-8.25,0.031902
PISY,2015-01-01T06:00:00Z,0,192.654209,-8.083333,0.031635
PISY,2015-01-01T07:00:00Z,0,194.108229,-7.708335,0.032748
PISY,2015-01-01T08:00:00Z,0,195.146492,-7.333333,0.031891
PISY,2015-01-01T09:00:00Z,0,195.257377,-6.5,0.034335
PISY,2015-01-01T10:00:00Z,0,183.983265,-3.125,0.087742
PISY,2015-01-01T11:00:00Z,0,178.80397,-1.875,0.103344
PISY,2015-01-01T12:00:00Z,0,172.748621,-1.375,0.101798
PISY,2015-01-01T13:00:00Z,0,166.445092,-1.625,0.084862
PISY,2015-01-01T14:00:00Z,0,165.888586,-1.25,0.078016
PISY,2015-01-01T15:00:00Z,0,166.010124,-1,0.068349
PISY,2015-01-01T16:00:00Z,0,166.884091,-2.125,0.04735
PISY,2015-01-01T17:00:00Z,0,168.244086,-2.375,0.041077
PISY,2015-01-01T18:00:00Z,0,169.527991,-2.25,0.034557
PISY,2015-01-01T19:00:00Z,0,170.878484,-2.125,0.031457
PISY,2015-01-01T20:00:00Z,0,172.524406,-2.125,0.029851
PISY,2015-01-01T21:00:00Z,0,172.987,-1.875,0.032772
PISY,2015-01-01T22:00:00Z,0,172.616506,-2.125,0.029566
PISY,2015-01-01T23:00:00Z,0,172.078846,-2.125,0.032297
PISY,2015-01-02T00:00:00Z,0,171.682272,-1.875,0.032882
PISY,2015-01-02T01:00:00Z,0,171.137635,-2,0.032182
PISY,2015-01-02T02:00:00Z,0,170.374664,-2,0.028861
PISY,2015-01-02T03:00:00Z,0,169.246543,-1.625,0.03407
PISY,2015-01-02T04:00:00Z,0,168.499269,-1.625,0.036638
PISY,2015-01-02T05:00:00Z,0,167.270395,-1.75,0.034327
PISY,2015-01-02T06:00:00Z,0,166.283756,-1.75,0.033588
PISY,2015-01-02T07:00:00Z,0,165.256311,-1.5,0.03735
PISY,2015-01-02T08:00:00Z,0,163.443037,-1.5,0.037723
PISY,2015-01-02T09:00:00Z,0,159.749165,-0.75,0.044369
PISY,2015-01-02T10:00:00Z,0,154.219886,1.125,0.088561
