Species,Timestep,GRO,TWD,Temperature,VPD
O,2015-01-01T00:00:00Z,0,24.89116667,4.970441,0.055194541
O,2015-01-01T01:00:00Z,0,24.1085,4.284142,0.064936743
O,2015-01-01T02:00:00Z,0,24.11166667,4.106849,0.071718792
O,2015-01-01T03:00:00Z,0,23.12483333,4.016872,0.065193296
O,2015-01-01T04:00:00Z,0,23.46116667,3.909979,0.088404541
O,2015-01-01T05:00:00Z,0,23.09366667,3.836843,0.089722668
O,2015-01-01T06:00:00Z,0,23.0545,3.713074,0.105156628
O,2015-01-01T07:00:00Z,0,22.31566667,3.555548,0.098561829
O,2015-01-01T08:00:00Z,0,22.14116667,3.825591,0.104404326
O,2015-01-01T09:00:00Z,0,21.838,3.628685,0.089267329
O,2015-01-01T10:00:00Z,0,21.88066667,4.253157,0.098092351
O,2015-01-01T11:00:00Z,0,21.46133333,4.704929,0.107729178
O,2015-01-01T12:00:00Z,0,21.22716667,4.778782,0.11520946
O,2015-01-01T13:00:00Z,0,21.5735,4.51945,0.09819013
O,2015-01-01T14:00:00Z,0,21.73666667,4.311365,0.091229081
O,2015-01-01T15:00:00Z,0,21.59466667,3.923688,0.103211982
O,2015-01-01T16:00:00Z,0,21.63,3.527371,0.092010756
O,2015-01-01T17:00:00Z,0,21.91366667,3.825591,0.127736375
O,2015-01-01T18:00:00Z,0,22.40983333,3.819965,0.138122074
O,2015-01-01T19:00:00Z,0,23.01166667,3.769332,0.147396868
O,2015-01-01T20:00:00Z,0,23.9935,3.741204,0.165515738
O,2015-01-01T21:00:00Z,0,24.7065,3.729951,0.152263866
O,2015-01-01T22:00:00Z,0,25.49866667,4.112511,0.184484605
O,2015-01-01T23:00:00Z,0,27.12883333,4.174396,0.202313939
O,2015-01-02T00:00:00Z,0,28.1435,4.386457,0.205794207
O,2015-01-02T01:00:00Z,0,29.06966667,4.556311,0.206028152
O,2015-01-02T02:00:00Z,0,31.27566667,4.908002,0.240206682
O,2015-01-02T03:00:00Z,0,33.07216667,5.341733,0.245544543
O,2015-01-02T04:00:00Z,0,33.6155,5.189249,0.176016502
O,2015-01-02T05:00:00Z,0,34.96116667,4.897114,0.141255641
O,2015-01-02T06:00:00Z,0,35.621,5.347551,0.164878882
O,2015-01-02T07:00:00Z,0,35.99466667,5.245053,0.060387929
O,2015-01-02T08:00:00Z,0,35.64533333,5.936762,0.05525981
O,2015-01-02T09:00:00Z,0,35.29133333,6.707181,0.085335952
O,2015-01-02T10:00:00Z,0,35.55783333,7.162725,0.095425982
O,2015-01-02T11:00:00Z,0,35.81733333,7.784375,0.11895841
O,2015-01-02T12:00:00Z,0,35.6555,8.656117,0.18927112
O,2015-01-02T13:00:00Z,0,36.16133333,7.598824,0.1813945
O,2015-01-02T14:00:00Z,0,37.3515,6.148898,0.10684718
O,2015-01-02T15:00:00Z,0,34.93883333,6.392216,0.200870184
O,2015-01-02T16:00:00Z,0,34.80533333,6.296609,0.209576353
O,2015-01-02T17:00:00Z,0,37.549,6.577807,0.300290114
O,2015-01-02T18:00:00Z,0,39.70033333,6.724031,0.287726256
O,2015-01-02T19:00:00Z,0,41.39,5.880435,0.211439538
O,2015-01-02T20:00:00Z,0,41.43066667,5.976043,0.194495128
O,2015-01-02T21:00:00Z,0,42.901,5.41927,0.216249405
O,2015-01-02T22:00:00Z,0,44.47583333,5.206241,0.198265019
O,2015-01-02T23:00:00Z,0,45.77283333,5.053816,0.205972256
O,2015-01-03T00:00:00Z,0,46.483,4.952645,0.164060423
O,2015-01-03T01:00:00Z,0,43.44183333,4.774299,0.142363049
O,2015-01-03T02:00:00Z,0,42.00133333,3.881558,0.141005105
O,2015-01-03T03:00:00Z,0,40.86616667,4.067503,0.158461739
O,2015-01-03T04:00:00Z,0,42.48783333,4.303789,0.193361427
O,2015-01-03T05:00:00Z,0,42.6715,4.264408,0.158653816
O,2015-01-03T06:00:00Z,0,43.48,4.106885,0.157002334
O,2015-01-03T07:00:00Z,0,44.32083333,4.483819,0.16453446
O,2015-01-03T08:00:00Z,0,45.83666667,4.600486,0.159531411
O,2015-01-03T09:00:00Z,0,47.9665,4.666582,0.173079133
O,2015-01-03T10:00:00Z,0,49.58433333,4.678516,0.196193425
O,2015-01-03T11:00:00Z,0,51.93816667,4.688447,0.200013017
O,2015-01-03T12:00:00Z,0,53.39683333,4.722597,0.213194198
O,2015-01-03T13:00:00Z,0,54.87116667,4.553432,0.171343106
O,2015-01-03T14:00:00Z,0,49.45233333,3.706445,0.060515779
O,2015-01-03T15:00:00Z,0,46.95116667,3.533044,0.034284253
O,2015-01-03T16:00:00Z,0,43.92866667,2.497883,0.029173857
O,2015-01-03T17:00:00Z,0,42.78516667,2.469753,0.019465349
O,2015-01-03T18:00:00Z,0,41.83766667,2.965401,0.024040363
O,2015-01-03T19:00:00Z,0,41.32733333,3.606202,0.03969077
O,2015-01-03T20:00:00Z,0,40.45833333,3.617453,0.041422073
O,2015-01-03T21:00:00Z,0,40.11133333,3.668084,0.061233065
O,2015-01-03T22:00:00Z,0,39.52583333,4.095652,0.099835708
O,2015-01-03T23:00:00Z,0,39.52716667,3.887495,0.113886861
O,2015-01-04T00:00:00Z,0,39.50783333,3.971883,0.112500824
O,2015-01-04T01:00:00Z,0,39.99766667,4.022517,0.130760004
O,2015-01-04T02:00:00Z,0,40.42816667,4.191292,0.124447742
O,2015-01-04T03:00:00Z,0,40.98483333,3.656833,0.111379232
O,2015-01-04T04:00:00Z,0,40.96433333,3.44305,0.118151733
O,2015-01-04T05:00:00Z,0,41.60583333,3.521812,0.133694981
O,2015-01-04T06:00:00Z,0,41.61766667,2.661053,0.096527035
